No,SMILES,Skeletons,FunctionalGroups1,FunctionalGroups2,LUMOs,Chemical_Hardness
7832,COC(=O)C1CCOS(=O)(=O)C1OC(C)=O,*C1CCOS(=O)(=O)C1*,*C(=O)OC,*OC(C)=O,-0.01582,0.17507
7833,C#CC1CC(=O)OC1N=C=O,*C1CC(=O)OC1*,*C#C,*N=C=O,-0.01583,0.17088
7834,COCOC1CCC(N=C=O)S(=O)(=O)O1,*C1CCC(*)S(=O)(=O)O1,*OCOC,*N=C=O,-0.01583,0.17212
7835,COC(=O)C1CC(C(F)(F)F)COS1(=O)=O,*C1COS(=O)(=O)C(*)C1,*C(F)(F)F,*C(=O)OC,-0.01583,0.18543
7836,CC1C(C#N)CCOS1(=O)=O,*C1CCOS(=O)(=O)C1*,*C#N,*C,-0.01583,0.18823
7837,O=C1CC(c2ccccc2)C(c2ccccc2)C(=O)O1,*C1CC(=O)OC(=O)C1*,*c1ccccc1,*c1ccccc1,-0.01584,0.14878
7838,C[Si](C)(C)C1COS(=O)CC1C(F)(F)F,*C1COS(=O)CC1*,*C(F)(F)F,*[Si](C)(C)C,-0.01584,0.15028
7839,CC(=O)NC1CCOS(=O)C1Cl,*C1CCOS(=O)C1*,*Cl,*NC(C)=O,-0.01584,0.15313
7840,CC(=O)NCOC(=O)OCCl,*COC(=O)OC*,*Cl,*NC(C)=O,-0.01584,0.16644
7841,CCCC1C(=O)OC(=O)C1NC(C)=O,*C1C(=O)OC(=O)C1*,*CCC,*NC(C)=O,-0.01584,0.16704
7842,C[Si](C)(C)C1OS(=O)(=O)CCC1Cl,*C1CCS(=O)(=O)OC1*,*[Si](C)(C)C,*Cl,-0.01584,0.16825
7843,COC(=O)C=CC(C)OC(C)=O,*C(*)C,*OC(C)=O,*C=CC(=O)OC,-0.01585,0.16111
7844,C1CC(=O)OC(=O)C1C#C,*C1CC(=O)OC(=O)C1*,*C#C,*,-0.01585,0.17024
7845,CCCC1CC(C#N)OC1=O,*C1CC(*)C(=O)O1,*CCC,*C#N,-0.01585,0.17335
7846,COCOC1CCS(=O)(=O)OC1Cl,*C1CCS(=O)(=O)OC1*,*Cl,*OCOC,-0.01585,0.1755
7847,COC1COC(=O)C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*C1COC(=O)C1*,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*OC,-0.01585,0.17585
7848,N#CC1CC(c2cccs2)C(=O)O1,*C1CC(*)C(=O)O1,*c1cccs1,*C#N,-0.01586,0.14446
7849,O=S1CC(Br)C(Cl)CO1,*C1COS(=O)CC1*,*Br,*Cl,-0.01586,0.15761
7850,C=CCC1CC(OC(C)=O)C(=O)OC1=O,*C1CC(*)C(=O)OC1=O,*CC=C,*OC(C)=O,-0.01586,0.1627
7851,COC1CC(=O)OC1C(=O)OC,*C1CC(=O)OC1*,*OC,*C(=O)OC,-0.01586,0.1673
7852,COC(=O)OC1CC(N=C=O)OC1=O,*C1CC(*)C(=O)O1,*OC(=O)OC,*N=C=O,-0.01586,0.17364
7853,COC(=O)C1OC(=O)CC1F,*C1CC(=O)OC1*,*F,*C(=O)OC,-0.01586,0.17421
7854,COC(=O)OC1CCS(=O)(=O)OC1F,*C1CCS(=O)(=O)OC1*,*F,*OC(=O)OC,-0.01586,0.18584
7855,COC(=O)OC1CC(NC(C)=O)COS1=O,*C1COS(=O)C(*)C1,*OC(=O)OC,*NC(C)=O,-0.01587,0.15126
7856,CC1C(=O)OC(=O)CC1c1ccccc1,*C1CC(=O)OC(=O)C1*,*C,*c1ccccc1,-0.01587,0.15265
7857,C=CCC1OS(=O)(=O)CCC1Br,*C1CCS(=O)(=O)OC1*,*CC=C,*Br,-0.01587,0.15708
7858,C=CCC1CC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OS(=O)(=O)C1,*C1CC(*)OS(=O)(=O)C1,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*CC=C,-0.01587,0.16513
7859,COC(=O)C1CC([Si](C)(C)C)COS1(=O)=O,*C1COS(=O)(=O)C(*)C1,*[Si](C)(C)C,*C(=O)OC,-0.01587,0.16996
7860,C#CC1OS(=O)(=O)CCC1F,*C1CCS(=O)(=O)OC1*,*C#C,*F,-0.01587,0.17161
7861,CC(=O)OC1COS(=O)(=O)CC1Br,*C1COS(=O)(=O)CC1*,*OC(C)=O,*Br,-0.01587,0.17375
7862,COC(=O)C1OS(=O)(=O)CCC1OC(C)=O,*C1CCS(=O)(=O)OC1*,*C(=O)OC,*OC(C)=O,-0.01587,0.17581
7863,COC(=O)C1CC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CS(=O)(=O)O1,*C1CC(*)OS(=O)(=O)C1,*C(=O)OC,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.01587,0.18102
7864,O=C=NC1CCS(=O)(=O)OC1c1cccs1,*C1CCS(=O)(=O)OC1*,*c1cccs1,*N=C=O,-0.01588,0.14633
7865,O=S1(=O)CCC(c2ccccc2)C(Br)O1,*C1CCS(=O)(=O)OC1*,*Br,*c1ccccc1,-0.01588,0.15157
7866,CCCC1COS(=O)(=O)C(Br)C1,*C1COS(=O)(=O)C(*)C1,*CCC,*Br,-0.01588,0.17059
7867,COC1OS(=O)(=O)CCC1N=C=O,*C1CCS(=O)(=O)OC1*,*OC,*N=C=O,-0.01588,0.17186
7868,COCOC1CCS(=O)(=O)OC1C(F)(F)F,*C1CCS(=O)(=O)OC1*,*C(F)(F)F,*OCOC,-0.01588,0.17685
7869,O=C=NC1CC(Cl)CS(=O)(=O)O1,*C1CC(*)OS(=O)(=O)C1,*N=C=O,*Cl,-0.01588,0.17844
7870,O=C=NC1CCC(c2ccccc2)OS1(=O)=O,*C1CCC(*)S(=O)(=O)O1,*c1ccccc1,*N=C=O,-0.01589,0.15147
7871,C=CC1C([Si](C)(C)C)CCOS1(=O)=O,*C1CCOS(=O)(=O)C1*,*[Si](C)(C)C,*C=C,-0.01589,0.15561
7872,CCCC1C([Si](C)(C)C)CCOS1(=O)=O,*C1CCOS(=O)(=O)C1*,*[Si](C)(C)C,*CCC,-0.01589,0.15876
7873,C=CC1OC(=O)C(CCC)OC1=O,*C1OC(=O)C(*)OC1=O,*C=C,*CCC,-0.01589,0.16273
7874,C=CC1CCC(Br)OS1(=O)=O,*C1CCC(*)S(=O)(=O)O1,*Br,*C=C,-0.01589,0.16611
7875,C=CC1C(C(F)(F)F)CCOS1(=O)=O,*C1CCOS(=O)(=O)C1*,*C(F)(F)F,*C=C,-0.01589,0.16874
7876,CC(=O)OC1OCC2(CO1)COC(OC(C)=O)OC2,*C1OCC2(CO1)COC(*)OC2,*OC(C)=O,*OC(C)=O,-0.01589,0.17083
7877,COC(=O)C1CC(=O)OC1F,*C1CC(=O)OC1*,*C(=O)OC,*F,-0.01589,0.17755
7878,CC1CS(=O)(=O)OCC1OC(C)=O,*C1COS(=O)(=O)CC1*,*OC(C)=O,*C,-0.01589,0.17803
7879,CC(=O)OC1CCOS(=O)(=O)C1C(F)(F)F,*C1CCOS(=O)(=O)C1*,*OC(C)=O,*C(F)(F)F,-0.01589,0.18329
7880,CC1CCOS(=O)(=O)C1N=C=O,*C1CCOS(=O)(=O)C1*,*C,*N=C=O,-0.0159,0.17099
7881,CCCC1CC(OC(C)=O)COS1(=O)=O,*C1COS(=O)(=O)C(*)C1,*OC(C)=O,*CCC,-0.0159,0.17501
7882,CCCC1CC(C(=O)OC)CS(=O)(=O)O1,*C1CC(*)OS(=O)(=O)C1,*CCC,*C(=O)OC,-0.0159,0.17512
7883,C1CC(OC(C)=O)CS(=O)(=O)O1,*C1CC(*)OS(=O)(=O)C1,*,*OC(C)=O,-0.0159,0.17978
7884,COCOC1COS(=O)(=O)CC1C(F)(F)F,*C1COS(=O)(=O)CC1*,*OCOC,*C(F)(F)F,-0.0159,0.18054
7885,COC(=O)C1CCC(N=C=O)OS1=O,*C1CCC(*)S(=O)O1,*C(=O)OC,*N=C=O,-0.01591,0.15733
7886,COC(=O)C1C([Si](C)(C)C)CCOS1(=O)=O,*C1CCOS(=O)(=O)C1*,*[Si](C)(C)C,*C(=O)OC,-0.01591,0.16151
7887,C=CCC1CCOS(=O)(=O)C1Cl,*C1CCOS(=O)(=O)C1*,*CC=C,*Cl,-0.01591,0.16239
7888,C=CCC1COS(=O)(=O)C(C(F)(F)F)C1,*C1COS(=O)(=O)C(*)C1,*CC=C,*C(F)(F)F,-0.01591,0.16414
7889,COC1C(=O)OC(=O)C1[Si](C)(C)C,*C1C(=O)OC(=O)C1*,*OC,*[Si](C)(C)C,-0.01591,0.16414
7890,CC(=O)NCOC(=O)OCBr,*COC(=O)OC*,*Br,*NC(C)=O,-0.01591,0.16628
7891,C1C(=O)OCC1C(=O)OC,*C1COC(=O)C1*,*,*C(=O)OC,-0.01591,0.16905
7892,COCOC1C(C(F)(F)F)CCOS1(=O)=O,*C1CCOS(=O)(=O)C1*,*C(F)(F)F,*OCOC,-0.01591,0.17381
7893,CC(=O)OC1CC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)COS1(=O)=O,*C1COS(=O)(=O)C(*)C1,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*OC(C)=O,-0.01591,0.18181
7894,CC(=O)NC#Cc1cccs1,*C#C*,*c1cccs1,*NC(C)=O,-0.01592,0.13187
7895,COCOC1C(N=C=O)CCOS1=O,*C1CCOS(=O)C1*,*OCOC,*N=C=O,-0.01592,0.1459
7896,CC(=O)OC1CCC(N=C=O)OS1=O,*C1CCC(*)S(=O)O1,*OC(C)=O,*N=C=O,-0.01592,0.15422
