No,SMILES,Skeletons,FunctionalGroups1,FunctionalGroups2,LUMOs,Chemical_Hardness
46,COC(=O)C=C,*COC(*)=O,*C=C,*,-0.01930 ,0.16599 
47,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C=C,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.03655 ,0.16506 
48,C=CCOC(=O)C=C,*COC(*)=O,*C=C,*C=C,-0.01973 ,0.15803 
49,C=CC(=O)OCC,*COC(*)=O,*C=C,*C,-0.01840 ,0.16569 
50,C=CC(=O)OCCC=C,*COC(*)=O,*C=C,*CC=C,-0.02024 ,0.15281 
51,C=CC(=O)OCOC(C)=O,*COC(*)=O,*C=C,*OC(C)=O,-0.02415 ,0.16636 
52,C=CC(=O)OCOC,*COC(*)=O,*C=C,*OC,-0.02207 ,0.16241 
53,C=CC(=O)OCOCOC,*COC(*)=O,*C=C,*OCOC,-0.02312 ,0.16222 
54,C=CC(=O)OCOC(=O)OC,*COC(*)=O,*C=C,*OC(=O)OC,-0.02554 ,0.16629 
55,C=CC(=O)OCC(=O)OC,*COC(*)=O,*C=C,*C(=O)OC,-0.02620 ,0.16554 
56,C=CC(=O)OCC#N,*COC(*)=O,*C=C,*C#N,-0.03706 ,0.16595 
57,C=CC(=O)OCN=C=O,*COC(*)=O,*C=C,*N=C=O,-0.03419 ,0.16402 
58,C=CC(=O)OCF,*COC(*)=O,*C=C,*F,-0.03095 ,0.16601 
59,C=CC(=O)OCCl,*COC(*)=O,*C=C,*Cl,-0.03227 ,0.16483 
60,C=CC(=O)OCBr,*COC(*)=O,*C=C,*Br,-0.03259 ,0.15781 
61,C=CC(=O)OCc1ccccc1,*COC(*)=O,*C=C,*c1ccccc1,-0.01900 ,0.14513 
62,C=CC(=O)OCc1cccs1,*COC(*)=O,*C=C,*c1cccs1,-0.02058 ,0.13757 
63,C=CC(=O)OCC(F)(F)F,*COC(*)=O,*C=C,*C(F)(F)F,-0.03513 ,0.16511 
64,C=CC(=O)OC[Si](C)(C)C,*COC(*)=O,*C=C,*[Si](C)(C)C,-0.01722 ,0.15697 
65,C=CC(=O)OCCCC,*COC(*)=O,*C=C,*CCC,-0.01712 ,0.16591 
66,C=CC(=O)OCNC(C)=O,*COC(*)=O,*C=C,*NC(C)=O,-0.02087 ,0.15937 
67,C#CCOC(=O)C=C,*COC(*)=O,*C=C,*C#C,-0.02320 ,0.15982 
68,C=CC(=O)OCC=CC(=O)OC,*COC(*)=O,*C=C,*C=CC(=O)OC,-0.02760 ,0.15700 
69,COC(=O)C,*COC(*)=O,*C,*,-0.00281 ,0.17772 
70,CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*C,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.00909 ,0.18656 
71,C=CCOC(=O)C,*COC(*)=O,*C,*C=C,-0.00303 ,0.16604 
72,CCOC(=O)C,*COC(*)=O,*C,*C,-0.00244 ,0.17617 
73,C=CCCOC(=O)C,*COC(*)=O,*C,*CC=C,-0.00394 ,0.16000 
74,CC(=O)OCOC(C)=O,*COC(*)=O,*C,*OC(C)=O,-0.00614 ,0.17863 
75,CC(=O)OCOC,*COC(*)=O,*C,*OC,-0.00331 ,0.17259 
76,CC(=O)OCOCOC,*COC(*)=O,*C,*OCOC,-0.00554 ,0.17342 
77,CC(=O)OCOC(=O)OC,*COC(*)=O,*C,*OC(=O)OC,-0.00392 ,0.18306 
78,CC(=O)OCC(=O)OC,*COC(*)=O,*C,*C(=O)OC,-0.00647 ,0.17893 
79,CC(=O)OCC#N,*COC(*)=O,*C,*C#N,-0.01215 ,0.18547 
80,CC(=O)OCN=C=O,*COC(*)=O,*C,*N=C=O,-0.01031 ,0.17440 
81,CC(=O)OCF,*COC(*)=O,*C,*F,-0.00455 ,0.18462 
82,CC(=O)OCCl,*COC(*)=O,*C,*Cl,-0.00607 ,0.18143 
83,CC(=O)OCBr,*COC(*)=O,*C,*Br,-0.00716 ,0.17070 
84,CC(=O)OCc1ccccc1,*COC(*)=O,*C,*c1ccccc1,-0.00456 ,0.15243 
85,CC(=O)OCc1cccs1,*COC(*)=O,*C,*c1cccs1,-0.00484 ,0.14631 
86,CC(=O)OCC(F)(F)F,*COC(*)=O,*C,*C(F)(F)F,-0.00690 ,0.18628 
87,CC(=O)OC[Si](C)(C)C,*COC(*)=O,*C,*[Si](C)(C)C,-0.00838 ,0.16158 
88,CC(=O)OCCCC,*COC(*)=O,*C,*CCC,-0.00433 ,0.17504 
